cmdddid,cmddd_slid,cmddd_cbid,cmdddname,cmddddeploymentdate,cmdddrecoverydate,cmddddateinposition,cmddddateoutposition,cmdddlatitude,cmdddlongitude,cmddddepth,cmdddstatus,cmdddupdatedby,cmdreadonly,cmdddnotes,cmdslid,cmdsl_fsid,cmdslname,cmdsldepth,cmdslnominallatitude,cmdslnominallongitude,cmdsldescription,cmdslfacility,cmdslpi,cmdfsid,cmdfs_cbid,cmdfsshortname,cmdfslongname,cmdfsdescription,cmdfsnominaltimezone,cmdfsinstitution
347,48,2,SAZ47-10-2006,3/10/2006,21/01/2007,,,-46.33,140.682,4285,0,0,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
84,48,2,SAZ47-11-2008,23/09/2008,23/09/2009,4/10/2008 1:15,23/09/2009 0:00,-44.7924,145.6392,3636,785,0,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
63,48,2,SAZ47-12-2009,28/09/2009,9/09/2010,28/09/2009 16:17,9/09/2010 20:44,-46.8335,141.65695,4570,0,0,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
65,48,2,SAZ47-13-2010,12/09/2010,4/08/2011,12/09/2010 22:42,4/08/2011 5:30,-46.8304,141.6496833,4599,0,0,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
66,48,2,SAZ47-14-2011,4/08/2011,19/07/2012,4/08/2011 9:00,21/07/2012 21:00,-46.79372,141.81603,4580,514,0,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
67,48,2,SAZ47-15-2012,18/07/2012,28/02/2014,18/07/2012 5:00,8/10/2013 20:00,-46.8371,141.6785,4591,787,0,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
168,48,2,SAZ47-16-2013,5/05/2013,27/03/2015,4/05/2013 17:00,27/03/2015 16:00,-46.7934,141.8232,4531,0,4,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
222,48,2,SAZ47-17-2015,20/03/2015,14/04/2016,27/03/2015 10:16,18/03/2016 21:06,-46.82487,141.655999,4609.7,787,-1,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
297,48,2,SAZ47-18-2016,1/04/2016,22/03/2017,18/03/2016 6:57,21/03/2017 20:05,-46.78361,141.84226,4582,787,-1,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
356,48,2,SAZ47-19-2017,17/03/2017,20/03/2018,21/03/2017 5:49,9/03/2018 19:31,-46.10945,142.30845,4526,1,-1,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
396,48,2,SAZ47-20-2018,10/03/2018,20/03/2019,9/03/2018 0:00,21/03/2019 19:15,-46.792048,141.794356,4500,1,-1,FALSE,Triangulation not performed,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
437,48,2,SAZ47-21-2019,20/03/2019,20/03/2020,20/03/2019 2:45,,-46.82592,141.64815,4566,1,-1,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
324,127,2,SAZ51-01-1997,17/09/1997,20/03/1998,,,-51.001,141.736,3780,0,0,FALSE,,127,11,SAZ54,2000,-54,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
325,127,2,SAZ54-01-1997,16/09/1997,16/03/1998,,,-53.747,141.758,2407,0,0,FALSE,,127,11,SAZ54,2000,-54,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
327,127,2,SAZ54-02-1998,22/03/1998,13/02/1999,,,-53.748,141.754,2436,0,0,FALSE,,127,11,SAZ54,2000,-54,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
329,127,2,SAZ54-03-1999,20/07/1999,11/10/2000,,,-53.749,141.754,2475,0,0,FALSE,"Deploy AA99_V02, Recovery AA00_V01",127,11,SAZ54,2000,-54,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
331,127,2,SAZ54-04-2000,10/10/2000,11/10/2001,,,-53.744,141.756,2454,0,0,FALSE,"Deploy AA00_V01, Recovery AA01_V03",127,11,SAZ54,2000,-54,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
333,127,2,SAZ54-05-2001,13/11/2001,13/11/2001,,,-53.741,141.763,2040,0,0,FALSE,"Deploy AA01_V03, Recovery AA02_V01",127,11,SAZ54,2000,-54,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
335,127,2,SAZ54-06-2002,10/10/2002,16/09/2003,,,-53.736,141.765,2050,0,0,FALSE,"Deploy AA02_V01, Recovery AA03_V01",127,11,SAZ54,2000,-54,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
340,127,2,SAZ54-07-2003,21/09/2003,11/10/2004,,,-53.73,141.749,2205,0,0,FALSE,"Deploy AA03_V01, Recovery AA04_V01",127,11,SAZ54,2000,-54,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
342,127,2,SAZ54-08-2004,12/10/2004,5/12/2005,,,-53.739,141.77,2065,0,0,FALSE,"Deploy AA04_V01, Recovery AA05_V02",127,11,SAZ54,2000,-54,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
344,127,2,SAZ54-09-2005,6/12/2005,4/10/2006,,,-53.736,141.768,2039,0,0,FALSE,,127,11,SAZ54,2000,-54,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
346,127,2,SAZ54-10-2006,5/10/2006,18/12/2007,,,-53.739,141.769,2060,0,0,FALSE,"Deploy AA06_011, Recovery AA07_03",127,11,SAZ54,2000,-54,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
334,128,2,SAZ61-05-2001,20/11/2001,26/10/2002,,,-60.741,139.9,4393,0,0,FALSE,"Deploy AA01_V03, Recovery AA02_V01",128,11,SAZ61,4500,-61,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
337,128,2,SAZ61-06-2002,11/10/2002,,,,-60.76,139.877,4390,0,0,FALSE,"Deploy AA02_V01, attempt AA03_V01 Not Recovered ",128,11,SAZ61,4500,-61,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
,48,2,SAZ47-22-2020,2/09/2020,26/04/2021,,,-46.7857,141.80028,4663,1,-1,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Shadwick, Elizabeth : Elizabeth.Shadwick@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
,48,2,SAZ47-23-2021,24/04/2021,12/05/2022,,,-46.82739,141.651442,4593,1,-1,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Shadwick, Elizabeth : Elizabeth.Shadwick@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
